Candidate, "Poll No.", Votes
Dickson, 199, , 57 , 2 , 90 , 26 , 25
Thavarajasoorier, 199, , 57 , 2 , 90 , 26 , 25
Willert, 199, , 57 , 2 , 90 , 26 , 25

Ashe, 200, , 71 , 0 , 106 , 20 , 20
Carvalho, 200, , 71 , 0 , 106 , 20 , 20
Dickson, 200, , 71 , 0 , 106 , 20 , 20
Thavarajasoorier, 200, , 71 , 0 , 106 , 20 , 20
Willert, 200, , 71 , 0 , 106 , 20 , 20

Ashe, 201, , 86 , 0 , 101 , 8 , 22
Carvalho, 201, , 86 , 0 , 101 , 8 , 22
Dickson, 201, , 86 , 0 , 101 , 8 , 22
Thavarajasoorier, 201, , 86 , 0 , 101 , 8 , 22
Willert, 201, , 86 , 0 , 101 , 8 , 22

Ashe, 202, , 73 , 2 , 91 , 14 , 21
Carvalho, 202, , 73 , 2 , 91 , 14 , 21
Dickson, 202, , 73 , 2 , 91 , 14 , 21
Thavarajasoorier, 202, , 73 , 2 , 91 , 14 , 21
Willert, 202, , 73 , 2 , 91 , 14 , 21

Ashe, 203, , 124 , 2 , 132 , 6 , 18
Carvalho, 203, , 124 , 2 , 132 , 6 , 18
Dickson, 203, , 124 , 2 , 132 , 6 , 18
Thavarajasoorier, 203, , 124 , 2 , 132 , 6 , 18
Willert, 203, , 124 , 2 , 132 , 6 , 18

Ashe, 400, , 45 , 1 , 63 , 21 , 5
Carvalho, 400, , 45 , 1 , 63 , 21 , 5
Dickson, 400, , 45 , 1 , 63 , 21 , 5
Thavarajasoorier, 400, , 45 , 1 , 63 , 21 , 5
Willert, 400, , 45 , 1 , 63 , 21 , 5

Ashe, 403, , 65 , 4 , 101 , 13 , 12
Carvalho, 403, , 65 , 4 , 101 , 13 , 12
Dickson, 403, , 65 , 4 , 101 , 13 , 12
Thavarajasoorier, 403, , 65 , 4 , 101 , 13 , 12
Willert, 403, , 65 , 4 , 101 , 13 , 12

Ashe, 404, , 33 , 2 , 63 , 13 , 10
Carvalho, 404, , 33 , 2 , 63 , 13 , 10
Dickson, 404, , 33 , 2 , 63 , 13 , 10
Thavarajasoorier, 404, , 33 , 2 , 63 , 13 , 10
Willert, 404, , 33 , 2 , 63 , 13 , 10

Ashe, 405, , 67 , 1 , 98 , 29 , 13
Carvalho, 405, , 67 , 1 , 98 , 29 , 13
Dickson, 405, , 67 , 1 , 98 , 29 , 13
Thavarajasoorier, 405, , 67 , 1 , 98 , 29 , 13
Willert, 405, , 67 , 1 , 98 , 29 , 13

Ashe, 406, , 38 3 , 81 , 12 , , 11
Carvalho, 406, , 38 3 , 81 , 12 , , 11
Dickson, 406, , 38 3 , 81 , 12 , , 11
Thavarajasoorier, 406, , 38 3 , 81 , 12 , , 11
Willert, 406, , 38 3 , 81 , 12 , , 11

Ashe, 407, , 43 2 , 69 , 18 , , 17
Carvalho, 407, , 43 2 , 69 , 18 , , 17
Dickson, 407, , 43 2 , 69 , 18 , , 17
Thavarajasoorier, 407, , 43 2 , 69 , 18 , , 17
Willert, 407, , 43 2 , 69 , 18 , , 17

Ashe, 409, , 27 0 , 39 , 10 , , 7
Carvalho, 409, , 27 0 , 39 , 10 , , 7
Dickson, 409, , 27 0 , 39 , 10 , , 7
Thavarajasoorier, 409, , 27 0 , 39 , 10 , , 7
Willert, 409, , 27 0 , 39 , 10 , , 7

Ashe, 410, , 34 0 , 80 , 18 , , 8
Carvalho, 410, , 34 0 , 80 , 18 , , 8
Dickson, 410, , 34 0 , 80 , 18 , , 8
Thavarajasoorier, 410, , 34 0 , 80 , 18 , , 8
Willert, 410, , 34 0 , 80 , 18 , , 8

Ashe, ADV001, , 376 8 , 438 , 60 , , 61
Carvalho, ADV001, , 376 8 , 438 , 60 , , 61
Dickson, ADV001, , 376 8 , 438 , 60 , , 61
Thavarajasoorier, ADV001, , 376 8 , 438 , 60 , , 61
Willert, ADV001, , 376 8 , 438 , 60 , , 61

Ashe, ADV002, , 338 17 , 582 , 74 , , 77
Carvalho, ADV002, , 338 17 , 582 , 74 , , 77
Dickson, ADV002, , 338 17 , 582 , 74 , , 77
Thavarajasoorier, ADV002, , 338 17 , 582 , 74 , , 77
Willert, ADV002, , 338 17 , 582 , 74 , , 77

Ashe, ADV003, , 97 1 , 117 , 11 , , 15
Carvalho, ADV003, , 97 1 , 117 , 11 , , 15
Dickson, ADV003, , 97 1 , 117 , 11 , , 15
Thavarajasoorier, ADV003, , 97 1 , 117 , 11 , , 15
Willert, ADV003, , 97 1 , 117 , 11 , , 15

Ashe, ADV004, , 368 11 , 570 , 76 , , 64
Carvalho, ADV004, , 368 11 , 570 , 76 , , 64
Dickson, ADV004, , 368 11 , 570 , 76 , , 64
Thavarajasoorier, ADV004, , 368 11 , 570 , 76 , , 64
Willert, ADV004, , 368 11 , 570 , 76 , , 64

Ashe, ADV005, , 210 5 , 330 , 28 , , 40
Carvalho, ADV005, , 210 5 , 330 , 28 , , 40
Dickson, ADV005, , 210 5 , 330 , 28 , , 40
Thavarajasoorier, ADV005, , 210 5 , 330 , 28 , , 40
Willert, ADV005, , 210 5 , 330 , 28 , , 40

Ashe, ADV006, , 84 7 , 40 , 6 , , 13
Carvalho, ADV006, , 84 7 , 40 , 6 , , 13
Dickson, ADV006, , 84 7 , 40 , 6 , , 13
Thavarajasoorier, ADV006, , 84 7 , 40 , 6 , , 13
Willert, ADV006, , 84 7 , 40 , 6 , , 13
