Candidate, "Poll No.", Votes
Dickson, 038, , 62 , 0 , 99 , 4 , 5
Thavarajasoorier, 038, , 62 , 0 , 99 , 4 , 5
Willert, 038, , 62 , 0 , 99 , 4 , 5

Ashe, 039, , 28 , 0 , 69 , 8 , 16
Carvalho, 039, , 28 , 0 , 69 , 8 , 16
Dickson, 039, , 28 , 0 , 69 , 8 , 16
Thavarajasoorier, 039, , 28 , 0 , 69 , 8 , 16
Willert, 039, , 28 , 0 , 69 , 8 , 16

Ashe, 040, , 59 , 0 , 101 , 14 , 2
Carvalho, 040, , 59 , 0 , 101 , 14 , 2
Dickson, 040, , 59 , 0 , 101 , 14 , 2
Thavarajasoorier, 040, , 59 , 0 , 101 , 14 , 2
Willert, 040, , 59 , 0 , 101 , 14 , 2

Ashe, 041, , 71 , 0 , 98 , 8 , 10
Carvalho, 041, , 71 , 0 , 98 , 8 , 10
Dickson, 041, , 71 , 0 , 98 , 8 , 10
Thavarajasoorier, 041, , 71 , 0 , 98 , 8 , 10
Willert, 041, , 71 , 0 , 98 , 8 , 10

Ashe, 042, , 66 , 4 , 109 , 20 , 18
Carvalho, 042, , 66 , 4 , 109 , 20 , 18
Dickson, 042, , 66 , 4 , 109 , 20 , 18
Thavarajasoorier, 042, , 66 , 4 , 109 , 20 , 18
Willert, 042, , 66 , 4 , 109 , 20 , 18

Ashe, 043, , 34 , 0 , 83 , 8 , 4
Carvalho, 043, , 34 , 0 , 83 , 8 , 4
Dickson, 043, , 34 , 0 , 83 , 8 , 4
Thavarajasoorier, 043, , 34 , 0 , 83 , 8 , 4
Willert, 043, , 34 , 0 , 83 , 8 , 4

Ashe, 044, , 40 , 1 , 73 , 15 , 9
Carvalho, 044, , 40 , 1 , 73 , 15 , 9
Dickson, 044, , 40 , 1 , 73 , 15 , 9
Thavarajasoorier, 044, , 40 , 1 , 73 , 15 , 9
Willert, 044, , 40 , 1 , 73 , 15 , 9

Ashe, 045, , 43 , 2 , 70 , 17 , 13
Carvalho, 045, , 43 , 2 , 70 , 17 , 13
Dickson, 045, , 43 , 2 , 70 , 17 , 13
Thavarajasoorier, 045, , 43 , 2 , 70 , 17 , 13
Willert, 045, , 43 , 2 , 70 , 17 , 13

