134s, 0, 0, 0, 99, 282, "Village Retirement Centre", "AJAX-PICKERING", 2007
135, 1, 0, 0, 137, 413, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
136, 1, 1, 0, 188, 418, "St. Anthony Daniel Catholic School", "AJAX-PICKERING", 2007
137A, 1, 0, 0, 113, 328, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
137B, 0, 0, 0, 116, 375, "Pickering Recreation Complex", "AJAX-PICKERING", "AJAX-PICKERING", 2007
138, 0, 0, 0, 116, 378, "Pickering High School", "AJAX-PICKERING", 2007
139, 0, 0, 0, 116, 439, "Pickering High School", "AJAX-PICKERING", 2007
140, 0, 0, 0, 96, 314, "Pickering High School", "AJAX-PICKERING", 2007
141, 1, 0, 0, 182, 371, "Lincoln Avenue Public School", "AJAX-PICKERING", 2007
142, 0, 0, 0, 0, 0, "NO POLL HELD", "AJAX-PICKERING", 2007
143s, 0, 0, 0, 69, 99, "Ashley Manor", "AJAX-PICKERING", "AJAX-PICKERING", 2007
144, 0, 0, 0, 122, 294, "St. Andrews Community Centre", "AJAX-PICKERING", 2007
145, 0, 0, 0, 70, 225, "Ajax High School", "AJAX-PICKERING", 2007
146s, 5, 1, 0, 198, 306, "66 Falby Court", "AJAX-PICKERING", 2007
147, 0, 0, 0, 180, 361, "Ajax High School", "AJAX-PICKERING", 2007
148, 0, 0, 0, 0, 0, "NO POLL HELD", "AJAX-PICKERING", 2007
149, 0, 0, 1, 164, 405, "Ajax High School", "AJAX-PICKERING", 2007
150, 0, 0, 0, 144, 411, "Ajax High School", "AJAX-PICKERING", 2007
151A, 0, 0, 0, 97, 276, "Ajax High School", "AJAX-PICKERING", 2007
151B, 0, 0, 0, 97, 281, "Ajax High School", "AJAX-PICKERING", 2007
152, 0, 0, 0, 202, 413, "Carruthers Creek Public School", "AJAX-PICKERING", 2007
153, 0, 0, 0, 147, 375, "Ajax High School", "AJAX-PICKERING", 2007
154, 0, 0, 1, 151, 336, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
155, 0, 0, 0, 163, 294, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
156, 0, 0, 0, 136, 380, "Maple Ridge Public School", "AJAX-PICKERING", 2007
157, 0, 0, 0, 236, 465, "Maple Ridge Public School", "AJAX-PICKERING", 2007
158A, 0, 0, 0, 174, 359, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
158B, 0, 2, 0, 150, 340, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
159, 0, 0, 0, 0, 0, "NO POLL HELD", "AJAX-PICKERING", 2007
159-1s, 0, 0, 0 ,26, 29, "Chartwell Senior Housing", "AJAX-PICKERING", 2007
160, 1, 0, 0, 176, 449, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
161s, 2, 1, 0, 31, 68, "The Parkway Retirement Home", "AJAX-PICKERING", 2007
162, 0, 0, 0, 91, 268, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
163A, 4, 0, 0, 176, 312, "Ajax Community Centre", "AJAX-PICKERING", 2007
163B, 0, 1, 0, 95, 283, "Ajax Community Centre", "AJAX-PICKERING", 2007
164, 1, 0, 0, 169, 392, "Ajax Community Centre", "AJAX-PICKERING", 2007
165, 0, 0, 0, 158, 351, "Duffin's Bay Public School", "AJAX-PICKERING", 2007
167s, 0, 0, 0, 70, 92, "Westwood Manor", "AJAX-PICKERING", 2007
168, 0, 0, 0, 180, 427, "Ajax Community Centre", "AJAX-PICKERING", 2007
169, 0, 0, 0, 135, 276, "St. James Catholic School", "AJAX-PICKERING", 2007
170, 1, 0, 0, 209, 427, "Southwood Park Public School", "AJAX-PICKERING", 2007
171, 1, 1, 0, 268, 472, "St. James Catholic School", "AJAX-PICKERING", 2007
172, 0, 0, 0, 202, 385, "Southwood Park Public School", "AJAX-PICKERING", 2007
173, 0, 0, 1, 204, 411, "Southwood Park Public School", "AJAX-PICKERING", 2007
174, 1, 2, 0, 209, 403, "Southwood Park Public School", "AJAX-PICKERING", 2007
175, 2, 0, 0, 171, 425, "Carruthers Creek Public School", "AJAX-PICKERING", 2007
176, 0, 1, 0, 194, 457, "Carruthers Creek Public School", "AJAX-PICKERING", 2007
177, 0, 1, 0, 192, 380, "Carruthers Creek Public School", "AJAX-PICKERING", 2007
178, 0, 0, 0, 181, 383, "Carruthers Creek Public School", "AJAX-PICKERING", 2007
179, 0, 2, 0, 225, 415, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
180, 1, 1, 0, 146, 312, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
181, 0, 0, 0, 224, 401, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
182, 1, 0, 0, 130, 295, "Carruthers Creek Community Church", "AJAX-PICKERING", "AJAX-PICKERING", 2007
183, 1, 0, 0, 173, 343, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
184, 0, 0, 0, 143, 355, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
185, 0, 0, 0, 148, 390, "Carruthers Creek Community Church", "AJAX-PICKERING", 2007
186, 0, 0, 0, 112 , 401, "Pickering High School", "AJAX-PICKERING", 2007
187A, 0, 0, 0, 131 , 325, "Ajax Community Centre", "AJAX-PICKERING", 2007
187B, 0, 1, 0, 152 , 321, "Ajax Community Centre", "AJAX-PICKERING", 2007
188, 2, 1, 0, 261, 476, "Lakeside Public School", "AJAX-PICKERING", 2007
189, 0, 0, 0, 183, 376, "Lakeside Public School", "AJAX-PICKERING", 2007
190, 2, 0, 0, 87, 165, "Lakeside Public School", "AJAX-PICKERING", 2007
191, 0, 0, 0, 154, 298, "Lakeside Public School", "AJAX-PICKERING", 2007
192, 0, 1, 0, 233, 445, "Duffin's Bay Public School", "AJAX-PICKERING", 2007
193, 1, 0, 0, 297, 490, "Lakeside Public School", "AJAX-PICKERING", 2007
194, 1, 0, 0, 272, 467, "Duffin's Bay Public School", "AJAX-PICKERING", 2007
195, 2, 0, 1, 212, 434, "Duffin's Bay Public School", "AJAX-PICKERING", 2007
196, 0, 4, 0, 245, 463, "St. James Catholic School", "AJAX-PICKERING", 2007
197, 0, 0, 0, 280, 475, "Duffin's Bay Public School", "AJAX-PICKERING", 2007
198, 1, 0, 0, 144, 268, "St. James Catholic School", "AJAX-PICKERING", "AJAX-PICKERING", 2007
199, 0, 0, 1, 201, 413, "St. James Catholic School", "AJAX-PICKERING", 2007
200, 0, 0, 0, 217, 435, "St. James Catholic School", "AJAX-PICKERING", 2007
201, 0, 0, 0, 217, 407, "Southwood Park Public School", "AJAX-PICKERING", 2007
202, 0, 0, 0, 201, 382, "Southwood Park Public School", "AJAX-PICKERING", 2007
203, 0, 2, 0, 284, 472, "Lakeside Public School", "AJAX-PICKERING", 2007
400, 0, 1, 0, 136, 188, "Top of Westney", "AJAX-PICKERING", 2007
403, 0, 0, 0, 195, 306, "Emerald Point", "AJAX-PICKERING", 2007
404, 0, 0, 0, 121, 170, "Village Gardens", "AJAX-PICKERING", 2007
405, 0, 1, 0, 209, 266, "44 Falby Court", "AJAX-PICKERING", 2007
406, 1, 0, 0, 146, 261, "33 Falby Court", "AJAX-PICKERING", "AJAX-PICKERING", 2007
407, 0, 2, 0, 151, 282, "55 Falby Court", "AJAX-PICKERING", 2007
409, 0, 0, 0, 83, 144, "1625 Pickering Parkway", "AJAX-PICKERING", 2007
410, 0, 0, 0, 140, 288, "77 Falby Court", "AJAX-PICKERING", 2007
ADV001, 2, 3, 2, 950, 0, "Returning Office", "AJAX-PICKERING", 2007
ADV002, 2, 1, 0, 1091, 0, "Ajax Public Library", "AJAX-PICKERING", "AJAX-PICKERING", "AJAX-PICKERING", 2007
ADV003, 0, 0, 0, 241, 0, "Tribute Lakeside Pavilion", "AJAX-PICKERING", "AJAX-PICKERING", 2007
ADV004, 5, 4, 0, 1098, 0, "Mclean's Community Centre", "AJAX-PICKERING", 2007
ADV005, 1, 1, 1, 616, 0, "Pickering Recreation Complex", "AJAX-PICKERING", 2007
ADV006, 0, 0, 1, 151, 0, "Claremont Community Centre", "AJAX-PICKERING", 2007
